glass_name,glass_price,glass_link,photos_link
Bronx,$12.95,https://www.glassesshop.com/eyeglasses/fp1979,"['https://res.glassesshop.com/products/201910/5d9ff9961f92a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201910/5d9ff9961f92a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201910/5d9ff99262ec8.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201910/5d9ff994de32f.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201910/5d9ff9939ef10.jpg?im=Resize,width=1000,height=500']"
Memphis,$29.95,https://www.glassesshop.com/eyeglasses/fz1740,"['https://res.glassesshop.com/products/202108/6107bdcd1997d.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202108/6107bdcd1997d.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202108/6107bdce69f61.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202108/6107bdcfbaa6d.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202108/6107bdd122025.jpg?im=Resize,width=1000,height=500']"
Whittier,$29.95,https://www.glassesshop.com/eyeglasses/fz1313,"['https://res.glassesshop.com/products/201906/5cf8ca4e9765e.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201906/5cf8ca4e9765e.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201906/5cf8ca4e950be.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201906/5cf8ca4e95bd2.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/201906/5cf8ca4e96993.jpg?im=Resize,width=1000,height=500']"
Cooksville,$12.95,https://www.glassesshop.com/eyeglasses/fp2010,"['https://res.glassesshop.com/products/202107/60f4cf1859345.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202107/60f4cf1859345.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202107/60f4cf19d5cdb.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202107/60f4cf1b33652.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202107/60f4cf1c70fff.jpg?im=Resize,width=1000,height=500']"
Althea,$19.95,https://www.glassesshop.com/eyeglasses/fp2111,"['https://res.glassesshop.com/products/202007/5f0d02e66cf0b.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202007/5f0d02e66cf0b.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202007/5f0d02e7b4c6a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202007/5f0d02e8e105e.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202007/5f0d02ea2d5ea.jpg?im=Resize,width=1000,height=500']"
Bainbridge,$19.95,https://www.glassesshop.com/eyeglasses/fp2186,"['https://res.glassesshop.com/products/202011/5fc45756d219c.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202011/5fc45756d219c.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202011/5fc4575812c52.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202011/5fc457596c705.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202011/5fc4575a9ee70.jpg?im=Resize,width=1000,height=500']"
Gulfport,$19.95,https://www.glassesshop.com/eyeglasses/fp2107,"['https://res.glassesshop.com/products/202006/5ef06e410e21c.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202006/5ef06e410e21c.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202006/5ef06e42730a6.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202006/5ef06e43da0a2.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202006/5ef06e450863c.jpg?im=Resize,width=1000,height=500']"
Libra,$26.95,https://www.glassesshop.com/eyeglasses/fp2046,"['https://res.glassesshop.com/products/202002/5e43691fca28d.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202002/5e43691fca28d.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202002/5e43692139cde.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202002/5e43692281b1d.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202002/5e436923d94ec.jpg?im=Resize,width=1000,height=500']"
Brian,$34.95,https://www.glassesshop.com/eyeglasses/fz2107,"['https://res.glassesshop.com/products/202307/64a2938eca472.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202307/64a2938eca472.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202307/64a2938f9c978.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202307/64a2939039916.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202307/64a29390dd61a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202307/64a293919e18f.jpg?im=Resize,width=1000,height=500']"
Egbert,$54.95,https://www.glassesshop.com/eyeglasses/rm0288,"['https://res.glassesshop.com/products/202009/5f5edd683b77a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202009/5f5edd683b77a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202009/5f5edd69b1d94.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202009/5f5edd6ae2797.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202009/5f5edd6c091bf.jpg?im=Resize,width=1000,height=500']"
Modesto,$26.95,https://www.glassesshop.com/eyeglasses/fm1654,"['https://res.glassesshop.com/products/202111/617fae5de0604.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202111/617fae5de0604.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202111/617fae5f39e1e.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202111/617fae6084862.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202111/617fae61a400b.jpg?im=Resize,width=1000,height=500']"
Union,$35.95,https://www.glassesshop.com/eyeglasses/fz1750,[]
Aubrey,$26.95,https://www.glassesshop.com/eyeglasses/fm1711,"['https://res.glassesshop.com/products/202202/620a048369ad4.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202202/620a048369ad4.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202202/620a0484ba8ed.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202202/620a0485e3d59.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202202/620a048717c5a.jpg?im=Resize,width=1000,height=500']"
Kitty,$29.95,https://www.glassesshop.com/eyeglasses/fz1659,"['https://res.glassesshop.com/products/202104/606bbf51de37a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202104/606bbf51de37a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202104/606bbf5370b71.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202104/606bbf54c69c3.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202104/606bbf56138e1.jpg?im=Resize,width=1000,height=500']"
George,$55.95,https://www.glassesshop.com/eyeglasses/rm0309,"['https://res.glassesshop.com/products/202208/62f9e76f9a7e3.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202208/62f9e76f9a7e3.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202208/62f9e771062a7.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202208/62f9e7725df38.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202208/62f9e773b6e24.jpg?im=Resize,width=1000,height=500']"
Fernando,$19.95,https://www.glassesshop.com/eyeglasses/sm0945,"['https://res.glassesshop.com/products/202208/62f9e78f4dd9d.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202208/62f9e78f4dd9d.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202208/62f9e7909222a.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202208/62f9e791db231.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202208/62f9e793437d6.jpg?im=Resize,width=1000,height=500']"
Pasadena,$13.48,https://www.glassesshop.com/eyeglasses/fp2520,"['https://res.glassesshop.com/products/202201/61dbe605ac50b.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202201/61dbe605ac50b.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202201/61dbe606e925f.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202201/61dbe6082045e.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202201/61dbe6096ad68.jpg?im=Resize,width=1000,height=500']"
Fitchburg,$9.95,https://www.glassesshop.com/eyeglasses/fp2390,"['https://res.glassesshop.com/products/202109/614a9a5e84c85.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202109/614a9a5e84c85.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202109/614a9a5fdf6ec.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202109/614a9a613a9f3.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202109/614a9a6276e2e.jpg?im=Resize,width=1000,height=500']"
Smollett,$19.95,https://www.glassesshop.com/eyeglasses/fm1818,"['https://res.glassesshop.com/products/202209/63291e5547b79.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202209/63291e5547b79.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202209/63291e5687eec.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202209/63291e57cbc5f.jpg?im=Resize,width=1000,height=500', 'https://res.glassesshop.com/products/202209/63291e591ab51.jpg?im=Resize,width=1000,height=500']"
